"PSU_ID","component_tracts","SSU_ID","component_bgs","n_bgs_combined","NAME","TotHH","TotPerson","TotAdult18plus","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","Sij","PSU_Si","Si_check","mos_diff","pi2_cond"
"26163506100_26163505800","26163506100","261635061001","261635061001",1,"Block Group 1; Census Tract 5061; Wayne County; Michigan",744,1875,1379,507,319,336,217,6.18677207629704,16.1841350688584,16.1841350688584,0,0.382273878089517
"26163506900","26163506900","261635069001","261635069001",1,"Block Group 1; Census Tract 5069; Wayne County; Michigan",430,1094,760,255,172,187,146,3.40639049336671,11.4692743160636,11.4692743160636,0,0.297001396905801
"26163506900","26163506900","261635069002","261635069002",1,"Block Group 2; Census Tract 5069; Wayne County; Michigan",611,1580,1117,382,284,247,204,5.02690307065974,11.4692743160636,11.4692743160636,0,0.438293036868008
"26163506900","26163506900","261635069003","261635069003",1,"Block Group 3; Census Tract 5069; Wayne County; Michigan",418,905,674,213,177,145,139,3.03598075203711,11.4692743160636,11.4692743160636,0,0.264705566226191
"26163508000","26163508000","261635080002_261635080001","261635080001,261635080002",2,"Block Group 1; Census Tract 5080; Wayne County; Michigan | Block Group 2; Census Tract 5080; Wayne County; Michigan",629,1098,835,270,210,270,85,3.7441682133846,3.7441682133846,3.7441682133846,0,1
"26163511400","26163511400","261635114001","261635114001",1,"Block Group 1; Census Tract 5114; Wayne County; Michigan",678,1026,832,261,176,206,189,3.72173602656676,7.47631922916947,7.47631922916947,8.88178419700125e-16,0.497803252173356
"26163511400","26163511400","261635114003_261635114002","261635114002,261635114003",2,"Block Group 2; Census Tract 5114; Wayne County; Michigan | Block Group 3; Census Tract 5114; Wayne County; Michigan",625,979,843,247,154,230,212,3.75458320260271,7.47631922916947,7.47631922916947,8.88178419700125e-16,0.502196747826644
"26163513900","26163513900","261635139001","261635139001",1,"Block Group 1; Census Tract 5139; Wayne County; Michigan",453,765,612,169,116,182,145,2.72541957961881,5.2025162788596,5.2025162788596,0,0.523865651452844
"26163513900","26163513900","261635139002","261635139002",1,"Block Group 2; Census Tract 5139; Wayne County; Michigan",452,791,553,211,122,143,77,2.47709669924079,5.2025162788596,5.2025162788596,0,0.476134348547156
"26163515700","26163515700","261635157001","261635157001",1,"Block Group 1; Census Tract 5157; Wayne County; Michigan",1429,1766,1663,551,278,358,476,7.40922781073121,19.5478381154871,19.5478381154871,0,0.379030548900501
"26163515700","26163515700","261635157002","261635157002",1,"Block Group 2; Census Tract 5157; Wayne County; Michigan",1512,1679,1623,327,186,486,624,7.15865492712997,19.5478381154871,19.5478381154871,0,0.366212104112853
"26163515700","26163515700","261635157003","261635157003",1,"Block Group 3; Census Tract 5157; Wayne County; Michigan",965,1173,1131,170,114,324,523,4.97995537762592,19.5478381154871,19.5478381154871,0,0.254757346986645
"26163516700","26163516700","261635167001","261635167001",1,"Block Group 1; Census Tract 5167; Wayne County; Michigan",629,964,820,204,107,214,295,3.62962472080262,11.608518711928,11.608518711928,0,0.312669067507564
"26163516700","26163516700","261635167002","261635167002",1,"Block Group 2; Census Tract 5167; Wayne County; Michigan",465,1000,694,226,169,200,99,3.11246610336881,11.608518711928,11.608518711928,0,0.268119144277271
"26163516700","26163516700","261635167003","261635167003",1,"Block Group 3; Census Tract 5167; Wayne County; Michigan",787,1254,1090,269,226,298,297,4.86642788775654,11.608518711928,11.608518711928,0,0.419211788215166
"26163517500","26163517500","261635175001","261635175001",1,"Block Group 1; Census Tract 5175; Wayne County; Michigan",921,1464,1246,324,166,331,425,5.51683842752214,11.2043946790333,11.2043946790333,0,0.492381657872672
"26163517500","26163517500","261635175002","261635175002",1,"Block Group 2; Census Tract 5175; Wayne County; Michigan",1205,1392,1282,456,178,324,324,5.68755625151112,11.2043946790333,11.2043946790333,0,0.507618342127328
"26163520300","26163520300","261635203001","261635203001",1,"Block Group 1; Census Tract 5203; Wayne County; Michigan",575,652,584,291,86,115,92,2.60154149201456,11.1896940654173,11.1896940654173,0,0.232494425388701
"26163520300","26163520300","261635203002","261635203002",1,"Block Group 2; Census Tract 5203; Wayne County; Michigan",467,537,526,317,125,60,24,2.37630999357747,11.1896940654173,11.1896940654173,0,0.212365948495559
"26163520300","26163520300","261635203003","261635203003",1,"Block Group 3; Census Tract 5203; Wayne County; Michigan",634,1433,1395,1201,101,56,37,6.21184257982527,11.1896940654173,11.1896940654173,0,0.55513962611574
"26163521800_26163521900","26163521800","261635218001","261635218001",1,"Block Group 1; Census Tract 5218; Wayne County; Michigan",901,1466,1179,282,207,249,441,5.25398570681209,16.0225471384131,16.0225471384131,3.5527136788005e-15,0.327912014327358
"26163521800_26163521900","26163521900","261635219001","261635219001",1,"Block Group 1; Census Tract 5219; Wayne County; Michigan",430,741,669,312,149,110,98,3.00856651581972,16.0225471384131,16.0225471384131,3.5527136788005e-15,0.187770801348236
"26163521800_26163521900","26163521900","261635219002_261635219003","261635219002,261635219003",2,"Block Group 2; Census Tract 5219; Wayne County; Michigan | Block Group 3; Census Tract 5219; Wayne County; Michigan",1,144,143,26,21,71,25,0.629135881410993,16.0225471384131,16.0225471384131,3.5527136788005e-15,0.039265659571859
"26163521800_26163521900","26163521900","261635219004","261635219004",1,"Block Group 4; Census Tract 5219; Wayne County; Michigan",616,1068,969,542,162,156,109,4.33400450003665,16.0225471384131,16.0225471384131,3.5527136788005e-15,0.270494102004926
